374.290314,-85.018539,-131.961609;374.290314,-137.406433,-131.961609;359.015045,-85.018539,-122.492706;359.015045,-137.406433,-122.492706;359.015045,-85.018539,-122.492706;359.015045,-137.406433,-122.492706;343.739746,-85.018539,-131.961609;343.739746,-137.406433,-131.961609;343.739746,-85.018539,-131.961609;343.739746,-137.406433,-131.961609;374.290314,-85.018539,-131.961609;374.290314,-137.406433,-131.961609;374.290314,-85.018539,-131.961609;359.015045,-85.018539,-122.492706;343.739746,-85.018539,-131.961609;374.290314,-137.406433,-131.961609;359.015045,-137.406433,-122.492706;343.739746,-137.406433,-131.961609;
334.821625,-85.018539,-131.961609;334.821625,-137.406433,-131.961609;319.546326,-85.018539,-122.492706;319.546326,-137.406433,-122.492706;319.546326,-85.018539,-122.492706;319.546326,-137.406433,-122.492706;304.271027,-85.018539,-131.961609;304.271027,-137.406433,-131.961609;304.271027,-85.018539,-131.961609;304.271027,-137.406433,-131.961609;334.821625,-85.018539,-131.961609;334.821625,-137.406433,-131.961609;334.821625,-85.018539,-131.961609;319.546326,-85.018539,-122.492706;304.271027,-85.018539,-131.961609;334.821625,-137.406433,-131.961609;319.546326,-137.406433,-122.492706;304.271027,-137.406433,-131.961609;
453.227753,-152.504913,-131.961609;453.227753,-204.892807,-131.961609;437.952484,-152.504913,-122.492706;437.952484,-204.892807,-122.492706;437.952484,-152.504913,-122.492706;437.952484,-204.892807,-122.492706;422.677185,-152.504913,-131.961609;422.677185,-204.892807,-131.961609;422.677185,-152.504913,-131.961609;422.677185,-204.892807,-131.961609;453.227753,-152.504913,-131.961609;453.227753,-204.892807,-131.961609;453.227753,-152.504913,-131.961609;437.952484,-152.504913,-122.492706;422.677185,-152.504913,-131.961609;453.227753,-204.892807,-131.961609;437.952484,-204.892807,-122.492706;422.677185,-204.892807,-131.961609;
413.759033,-152.504913,-131.961609;413.759033,-204.892807,-131.961609;398.483734,-152.504913,-122.492706;398.483734,-204.892807,-122.492706;398.483734,-152.504913,-122.492706;398.483734,-204.892807,-122.492706;383.208466,-152.504913,-131.961609;383.208466,-204.892807,-131.961609;383.208466,-152.504913,-131.961609;383.208466,-204.892807,-131.961609;413.759033,-152.504913,-131.961609;413.759033,-204.892807,-131.961609;413.759033,-152.504913,-131.961609;398.483734,-152.504913,-122.492706;383.208466,-152.504913,-131.961609;413.759033,-204.892807,-131.961609;398.483734,-204.892807,-122.492706;383.208466,-204.892807,-131.961609;
374.290314,-152.504913,-131.961609;374.290314,-204.892807,-131.961609;359.015045,-152.504913,-122.492706;359.015045,-204.892807,-122.492706;359.015045,-152.504913,-122.492706;359.015045,-204.892807,-122.492706;343.739746,-152.504913,-131.961609;343.739746,-204.892807,-131.961609;343.739746,-152.504913,-131.961609;343.739746,-204.892807,-131.961609;374.290314,-152.504913,-131.961609;374.290314,-204.892807,-131.961609;374.290314,-152.504913,-131.961609;359.015045,-152.504913,-122.492706;343.739746,-152.504913,-131.961609;374.290314,-204.892807,-131.961609;359.015045,-204.892807,-122.492706;343.739746,-204.892807,-131.961609;
334.821625,-152.504913,-131.961609;334.821625,-204.892807,-131.961609;319.546326,-152.504913,-122.492706;319.546326,-204.892807,-122.492706;319.546326,-152.504913,-122.492706;319.546326,-204.892807,-122.492706;304.271027,-152.504913,-131.961609;304.271027,-204.892807,-131.961609;304.271027,-152.504913,-131.961609;304.271027,-204.892807,-131.961609;334.821625,-152.504913,-131.961609;334.821625,-204.892807,-131.961609;334.821625,-152.504913,-131.961609;319.546326,-152.504913,-122.492706;304.271027,-152.504913,-131.961609;334.821625,-204.892807,-131.961609;319.546326,-204.892807,-122.492706;304.271027,-204.892807,-131.961609;
453.227753,179.650604,-131.961609;453.227753,127.262711,-131.961609;437.952484,179.650604,-122.492706;437.952484,127.262711,-122.492706;437.952484,179.650604,-122.492706;437.952484,127.262711,-122.492706;422.677185,179.650604,-131.961609;422.677185,127.262711,-131.961609;422.677185,179.650604,-131.961609;422.677185,127.262711,-131.961609;453.227753,179.650604,-131.961609;453.227753,127.262711,-131.961609;453.227753,179.650604,-131.961609;437.952484,179.650604,-122.492706;422.677185,179.650604,-131.961609;453.227753,127.262711,-131.961609;437.952484,127.262711,-122.492706;422.677185,127.262711,-131.961609;
413.759033,179.650604,-131.961609;413.759033,127.262711,-131.961609;398.483734,179.650604,-122.492706;398.483734,127.262711,-122.492706;398.483734,179.650604,-122.492706;398.483734,127.262711,-122.492706;383.208466,179.650604,-131.961609;383.208466,127.262711,-131.961609;383.208466,179.650604,-131.961609;383.208466,127.262711,-131.961609;413.759033,179.650604,-131.961609;413.759033,127.262711,-131.961609;413.759033,179.650604,-131.961609;398.483734,179.650604,-122.492706;383.208466,179.650604,-131.961609;413.759033,127.262711,-131.961609;398.483734,127.262711,-122.492706;383.208466,127.262711,-131.961609;
374.290314,179.650604,-131.961609;374.290314,127.262711,-131.961609;359.015045,179.650604,-122.492706;359.015045,127.262711,-122.492706;359.015045,179.650604,-122.492706;359.015045,127.262711,-122.492706;343.739746,179.650604,-131.961609;343.739746,127.262711,-131.961609;343.739746,179.650604,-131.961609;343.739746,127.262711,-131.961609;374.290314,179.650604,-131.961609;374.290314,127.262711,-131.961609;374.290314,179.650604,-131.961609;359.015045,179.650604,-122.492706;343.739746,179.650604,-131.961609;374.290314,127.262711,-131.961609;359.015045,127.262711,-122.492706;343.739746,127.262711,-131.961609;
334.821625,179.650604,-131.961609;334.821625,127.262711,-131.961609;319.546326,179.650604,-122.492706;319.546326,127.262711,-122.492706;319.546326,179.650604,-122.492706;319.546326,127.262711,-122.492706;304.271027,179.650604,-131.961609;304.271027,127.262711,-131.961609;304.271027,179.650604,-131.961609;304.271027,127.262711,-131.961609;334.821625,179.650604,-131.961609;334.821625,127.262711,-131.961609;334.821625,179.650604,-131.961609;319.546326,179.650604,-122.492706;304.271027,179.650604,-131.961609;334.821625,127.262711,-131.961609;319.546326,127.262711,-122.492706;304.271027,127.262711,-131.961609;
