-299.796417,335.086334,-454.863251;-358.713196,335.086334,-457.447052;-358.713196,280.304077,-439.399597;-299.796417,280.304077,-437.221161;-298.958435,328.332214,-475.597961;-357.875214,328.332214,-478.181763;-357.875214,273.549957,-460.134338;-298.958435,273.549957,-457.955872;-299.796417,335.086334,-454.863251;-358.713196,335.086334,-457.447052;-358.713196,335.086334,-457.447052;-358.713196,280.304077,-439.399597;-358.713196,280.304077,-439.399597;-299.796417,280.304077,-437.221161;-299.796417,280.304077,-437.221161;-299.796417,335.086334,-454.863251;
-299.796417,389.868591,-468.465179;-358.713196,389.868591,-471.361511;-358.713196,335.086334,-457.447052;-299.796417,335.086334,-454.863251;-298.813049,384.55835,-489.609497;-357.729828,384.55835,-492.505829;-357.729828,329.776093,-478.5914;-298.813049,329.776093,-476.007599;-299.796417,389.868591,-468.465179;-358.713196,389.868591,-471.361511;-358.713196,389.868591,-471.361511;-358.713196,335.086334,-457.447052;-358.713196,335.086334,-457.447052;-299.796417,335.086334,-454.863251;-299.796417,335.086334,-454.863251;-299.796417,389.868591,-468.465179;
-299.796417,444.650879,-477.218872;-358.713196,444.650879,-480.316345;-358.713196,389.868591,-471.361511;-299.796417,389.868591,-468.465179;-298.701965,441.173218,-498.735321;-357.618744,441.173218,-501.832764;-357.618744,386.390961,-492.87793;-298.701965,386.390961,-489.981598;-299.796417,444.650879,-477.218872;-358.713196,444.650879,-480.316345;-358.713196,444.650879,-480.316345;-358.713196,389.868591,-471.361511;-358.713196,389.868591,-471.361511;-299.796417,389.868591,-468.465179;-299.796417,389.868591,-468.465179;-299.796417,444.650879,-477.218872;
-299.796417,499.433136,-480.316345;-358.713196,499.433136,-483.484985;-358.713196,444.650879,-480.316345;-299.796417,444.650879,-477.218872;-298.639465,498.188843,-502.073212;-357.556244,498.188843,-505.241852;-357.556244,443.406555,-502.073212;-298.639465,443.406555,-498.975739;-299.796417,499.433136,-480.316345;-358.713196,499.433136,-483.484985;-358.713196,499.433136,-483.484985;-358.713196,444.650879,-480.316345;-358.713196,444.650879,-480.316345;-299.796417,444.650879,-477.218872;-299.796417,444.650879,-477.218872;-299.796417,499.433136,-480.316345;
-240.879654,-322.300812,-216.358444;-299.796417,-322.300812,-207.604752;-299.796417,-377.083038,-204.507248;-240.879654,-377.083038,-213.462112;-244.118164,-323.479645,-237.907715;-303.034943,-323.479645,-229.154007;-303.034943,-378.261871,-226.056534;-244.118164,-378.261871,-235.011368;-240.879654,-322.300812,-216.358444;-299.796417,-322.300812,-207.604752;-299.796417,-322.300812,-207.604752;-299.796417,-377.083038,-204.507248;-299.796417,-377.083038,-204.507248;-240.879654,-377.083038,-213.462112;-240.879654,-377.083038,-213.462112;-240.879654,-322.300812,-216.358444;
-240.879654,-267.518555,-224.543716;-299.796417,-267.518555,-216.358444;-299.796417,-322.300812,-207.604752;-240.879654,-322.300812,-216.358444;-243.949158,-270.819702,-245.89624;-302.865936,-270.819702,-237.710968;-302.865936,-325.601929,-228.95726;-243.949158,-325.601929,-237.710968;-240.879654,-267.518555,-224.543716;-299.796417,-267.518555,-216.358444;-299.796417,-267.518555,-216.358444;-299.796417,-322.300812,-207.604752;-299.796417,-322.300812,-207.604752;-240.879654,-322.300812,-216.358444;-240.879654,-322.300812,-216.358444;-240.879654,-267.518555,-224.543716;
-240.879654,-212.736282,-237.262405;-299.796417,-212.736282,-229.960373;-299.796417,-267.518555,-216.358444;-240.879654,-267.518555,-224.543716;-243.646103,-217.792679,-258.310669;-302.562866,-217.792679,-251.008621;-302.562866,-272.574951,-237.406693;-243.646103,-272.574951,-245.591965;-240.879654,-212.736282,-237.262405;-299.796417,-212.736282,-229.960373;-299.796417,-212.736282,-229.960373;-299.796417,-267.518555,-216.358444;-299.796417,-267.518555,-216.358444;-240.879654,-267.518555,-224.543716;-240.879654,-267.518555,-224.543716;-240.879654,-212.736282,-237.262405;
-240.879654,-157.954025,-253.758881;-299.796417,-157.954025,-247.602432;-299.796417,-212.736282,-229.960373;-240.879654,-212.736282,-237.262405;-243.245346,-164.407669,-274.471283;-302.162109,-164.407669,-268.31485;-302.162109,-219.189926,-250.672745;-243.245346,-219.189926,-257.974792;-240.879654,-157.954025,-253.758881;-299.796417,-157.954025,-247.602432;-299.796417,-157.954025,-247.602432;-299.796417,-212.736282,-229.960373;-299.796417,-212.736282,-229.960373;-240.879654,-212.736282,-237.262405;-240.879654,-212.736282,-237.262405;-240.879654,-157.954025,-253.758881;
-240.879654,-103.171761,-273.277649;-299.796417,-103.171761,-268.476685;-299.796417,-157.954025,-247.602432;-240.879654,-157.954025,-253.758881;-242.77652,-110.692024,-293.676086;-301.693298,-110.692024,-288.875122;-301.693298,-165.474319,-268.000916;-242.77652,-165.474319,-274.157349;-240.879654,-103.171761,-273.277649;-299.796417,-103.171761,-268.476685;-299.796417,-103.171761,-268.476685;-299.796417,-157.954025,-247.602432;-299.796417,-157.954025,-247.602432;-240.879654,-157.954025,-253.758881;-240.879654,-157.954025,-253.758881;-240.879654,-103.171761,-273.277649;
-240.879654,-48.389503,-295.06311;-299.796417,-48.389503,-291.774994;-299.796417,-103.171761,-268.476685;-240.879654,-103.171761,-273.277649;-242.262283,-56.677086,-315.203918;-301.179047,-56.677086,-311.915833;-301.179047,-111.459343,-288.617493;-242.262283,-111.459343,-293.418488;-240.879654,-48.389503,-295.06311;-299.796417,-48.389503,-291.774994;-299.796417,-48.389503,-291.774994;-299.796417,-103.171761,-268.476685;-299.796417,-103.171761,-268.476685;-240.879654,-103.171761,-273.277649;-240.879654,-103.171761,-273.277649;-240.879654,-48.389503,-295.06311;
